Date,UV
2022-06-24 06:00:00,0.0
2022-06-24 06:01:00,0.0
2022-06-24 06:02:00,0.0
2022-06-24 06:03:00,0.0
2022-06-24 06:04:00,0.0
2022-06-24 06:05:00,0.0
2022-06-24 06:06:00,0.0
2022-06-24 06:07:00,0.0
2022-06-24 06:08:00,0.0
2022-06-24 06:09:00,0.0
2022-06-24 06:10:00,0.0
2022-06-24 06:11:00,4.2850000000000015e-17
2022-06-24 06:12:00,5.862000000007415e-13
2022-06-24 06:13:00,1.347000000415003e-10
2022-06-24 06:14:00,9.85200013733251e-09
2022-06-24 06:15:00,2.38200033547536e-07
2022-06-24 06:16:00,2.9530023386699e-06
2022-06-24 06:17:00,1.820009990652e-05
2022-06-24 06:18:00,5.1701767836e-05
2022-06-24 06:19:00,0.00010861965219999999
2022-06-24 06:20:00,0.000194128665
2022-06-24 06:21:00,0.00031533193
2022-06-24 06:22:00,0.0004747728
2022-06-24 06:23:00,0.0006967778
2022-06-24 06:24:00,0.0009938400000000002
2022-06-24 06:25:00,0.00139504
2022-06-24 06:26:00,0.0018989699999999998
2022-06-24 06:27:00,0.002566816
2022-06-24 06:28:00,0.00345344
2022-06-24 06:29:00,0.00450954
2022-06-24 06:30:00,0.0058381
2022-06-24 06:31:00,0.00750872
2022-06-24 06:32:00,0.0096
2022-06-24 06:33:00,0.01196085
2022-06-24 06:34:00,0.01504315
2022-06-24 06:35:00,0.01898757
2022-06-24 06:36:00,0.02335539
2022-06-24 06:37:00,0.029142500000000002
2022-06-24 06:38:00,0.0355334
2022-06-24 06:39:00,0.044323
2022-06-24 06:40:00,0.053309800000000004
2022-06-24 06:41:00,0.0640533
2022-06-24 06:42:00,0.0767448
2022-06-24 06:43:00,0.0914946
2022-06-24 06:44:00,0.1084437
2022-06-24 06:45:00,0.1278543
2022-06-24 06:46:00,0.150392
2022-06-24 06:47:00,0.1770684
2022-06-24 06:48:00,0.1986914
2022-06-24 06:49:00,0.2309156
2022-06-24 06:50:00,0.2585956
2022-06-24 06:51:00,0.2992963
2022-06-24 06:52:00,0.33021
2022-06-24 06:53:00,0.3667766
2022-06-24 06:54:00,0.40990699999999997
2022-06-24 06:55:00,0.460712
2022-06-24 06:56:00,0.514551
2022-06-24 06:57:00,0.5628489999999999
2022-06-24 06:58:00,0.6139840000000001
2022-06-24 06:59:00,0.667958
2022-06-24 07:00:00,0.724269
2022-06-24 07:01:00,0.783017
2022-06-24 07:02:00,0.843806
2022-06-24 07:03:00,0.906632
2022-06-24 07:04:00,0.971503
2022-06-24 07:05:00,1.038417
2022-06-24 07:06:00,1.107276
2022-06-24 07:07:00,1.177182
2022-06-24 07:08:00,1.2491430000000001
2022-06-24 07:09:00,1.323142
2022-06-24 07:10:00,1.398202
2022-06-24 07:11:00,1.475323
2022-06-24 07:12:00,1.5534949999999998
2022-06-24 07:13:00,1.6337290000000002
2022-06-24 07:14:00,1.7150159999999999
2022-06-24 07:15:00,1.798376
2022-06-24 07:16:00,1.882789
2022-06-24 07:17:00,1.968278
2022-06-24 07:18:00,2.055831
2022-06-24 07:19:00,2.1434610000000003
2022-06-24 07:20:00,2.233157
2022-06-24 07:21:00,2.32493
2022-06-24 07:22:00,2.416772
2022-06-24 07:23:00,2.510703
2022-06-24 07:24:00,2.605703
2022-06-24 07:25:00,2.701793
2022-06-24 07:26:00,2.798954
2022-06-24 07:27:00,2.898206
2022-06-24 07:28:00,2.997542
2022-06-24 07:29:00,3.09896
2022-06-24 07:30:00,3.20147
2022-06-24 07:31:00,3.30508
2022-06-24 07:32:00,3.4107700000000003
2022-06-24 07:33:00,3.51655
2022-06-24 07:34:00,3.6244199999999998
2022-06-24 07:35:00,3.7334
2022-06-24 07:36:00,3.84347
2022-06-24 07:37:00,3.9556199999999997
2022-06-24 07:38:00,4.06789
2022-06-24 07:39:00,4.18225
2022-06-24 07:40:00,4.29771
2022-06-24 07:41:00,4.41427
2022-06-24 07:42:00,4.53194
2022-06-24 07:43:00,4.6517100000000005
2022-06-24 07:44:00,4.77259
2022-06-24 07:45:00,4.89457
2022-06-24 07:46:00,5.01766
2022-06-24 07:47:00,5.14285
2022-06-24 07:48:00,5.26915
2022-06-24 07:49:00,5.39656
2022-06-24 07:50:00,5.52509
2022-06-24 07:51:00,5.65572
2022-06-24 07:52:00,5.787509999999999
2022-06-24 07:53:00,5.92037
2022-06-24 07:54:00,6.054270000000001
2022-06-24 07:55:00,6.19041
2022-06-24 07:56:00,6.3265899999999995
2022-06-24 07:57:00,6.46491
2022-06-24 07:58:00,6.60537
2022-06-24 07:59:00,6.74596
2022-06-24 08:00:00,6.8886
